time,Buitentemperatuur,Export beperking,Globale straling,PV Opgewekte energie totaal
18/01/2025 17:25,-1,0,0,0.0174993
18/01/2025 17:30,-1.1,0,0,0.0049998
18/01/2025 17:35,-1.3,0,0,0.0049998
18/01/2025 17:40,-1.1,0,0,0.0049998
18/01/2025 17:45,-1.3,0,0,0
18/01/2025 17:50,-1,0,0,0
18/01/2025 17:55,-1.2,0,0,0
18/01/2025 18:00,-1,0,0,0
18/01/2025 18:05,-1,0,0,0
18/01/2025 18:10,-0.9,0,0,0
18/01/2025 18:15,-0.9,0,0,0
18/01/2025 18:20,-0.8,0,0,0
18/01/2025 18:25,-0.6,0,0,0
18/01/2025 18:30,-0.7,0,0,0
18/01/2025 18:35,-1,0,0,0
18/01/2025 18:40,-0.8,0,0,0
18/01/2025 18:45,-1,0,0,0
18/01/2025 18:50,-0.9,0,0,0
18/01/2025 18:55,-0.9,0,0,0
18/01/2025 19:00,-0.6,1,0,0
18/01/2025 19:05,-0.9,0,0,0
18/01/2025 19:10,-0.9,0,0,0
18/01/2025 19:15,-1,0,0,0
18/01/2025 19:20,-1,0,0,0
18/01/2025 19:25,-0.9,0,0,0
18/01/2025 19:30,-1,0,0,0
18/01/2025 19:35,-0.8,0,0,0
18/01/2025 19:40,-1,0,0,0
18/01/2025 19:45,-1.1,0,0,0
18/01/2025 19:50,-1.1,0,0,0
18/01/2025 19:55,-1.3,0,0,0
18/01/2025 20:00,-1.3,0,0,0
18/01/2025 20:05,-1,0,0,0
18/01/2025 20:10,-1.1,0,0,0
18/01/2025 20:15,-1.1,0,0,0
18/01/2025 20:20,-1.1,0,0,0
18/01/2025 20:25,-1,0,0,0
18/01/2025 20:30,-1,0,0,0
18/01/2025 20:35,-1,0,0,0
18/01/2025 20:40,-0.8,0,0,0
18/01/2025 20:45,-1,0,0,0
18/01/2025 20:50,-1,0,0,0
18/01/2025 20:55,-1.2,0,0,0
18/01/2025 21:00,-0.8,0,0,0
18/01/2025 21:05,-1.1,0,0,0
18/01/2025 21:10,-1.1,0,0,0
18/01/2025 21:15,-1.4,0,0,0
18/01/2025 21:20,-1.3,0,0,0
18/01/2025 21:25,-1.1,0,0,0
18/01/2025 21:30,-1,0,0,0
