time;Buitentemperatuur;Export beperking;Globale straling
"18/01/2025 16:15:00";-0.8;0;49
"18/01/2025 16:20:00";-0.7;0;32
"18/01/2025 16:25:00";-0.8;0;33
"18/01/2025 16:30:00";-0.9;0;30
"18/01/2025 16:35:00";-1;0;34
"18/01/2025 16:40:00";-0.9;0;21
"18/01/2025 16:45:00";-0.9;0;21
"18/01/2025 16:50:00";-0.7;0;0
"18/01/2025 16:55:00";-0.8;0;0
"18/01/2025 17:00:00";-1.1;0;0
"18/01/2025 17:05:00";-1;0;0
"18/01/2025 17:10:00";-1;0;0
"18/01/2025 17:15:00";-0.8;0;0
"18/01/2025 17:20:00";-1;0;0
"18/01/2025 17:25:00";-1;0;0
"18/01/2025 17:30:00";-1.1;0;0
"18/01/2025 17:35:00";-1.3;0;0
"18/01/2025 17:40:00";-1.1;0;0
"18/01/2025 17:45:00";-1.3;0;0
"18/01/2025 17:50:00";-1;0;0
"18/01/2025 17:55:00";-1.2;0;0
"18/01/2025 18:00:00";-1;0;0
"18/01/2025 18:05:00";-1;0;0
"18/01/2025 18:10:00";-0.9;0;0
"18/01/2025 18:15:00";-0.9;0;0
"18/01/2025 18:20:00";-0.8;0;0
"18/01/2025 18:25:00";-0.6;0;0
"18/01/2025 18:30:00";-0.7;0;0
"18/01/2025 18:35:00";-1;0;0
"18/01/2025 18:40:00";-0.8;0;0
"18/01/2025 18:45:00";-1;0;0
"18/01/2025 18:50:00";-0.9;0;0
"18/01/2025 18:55:00";-0.9;0;0
"18/01/2025 19:00:00";-0.6;1;0
"18/01/2025 19:05:00";-0.9;0;0
"18/01/2025 19:10:00";-0.9;0;0
"18/01/2025 19:15:00";-1;0;0
"18/01/2025 19:20:00";-1;0;0
"18/01/2025 19:25:00";-0.9;0;0
"18/01/2025 19:30:00";-1;0;0
"18/01/2025 19:35:00";-0.8;0;0
"18/01/2025 19:40:00";-1;0;0
"18/01/2025 19:45:00";-1.1;0;0
"18/01/2025 19:50:00";-1.1;0;0
"18/01/2025 19:55:00";-1.3;0;0
"18/01/2025 20:00:00";-1.3;0;0
"18/01/2025 20:05:00";-1;0;0
